"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 30 23:43:33 CST 2021","Fri Apr 30 23:43:33 CST 2021","50","test","test_api","","","","get请求查询用户数据列表",""
"passed","Fri Apr 30 23:43:33 CST 2021","Fri Apr 30 23:43:33 CST 2021","168","test","test_api","","","","post请求实现登录",""
"passed","Fri Apr 30 23:43:33 CST 2021","Fri Apr 30 23:43:33 CST 2021","129","test","test_api","","","","get请求查询用户数据列表",""
"failed","Fri Apr 30 23:43:34 CST 2021","Fri Apr 30 23:43:34 CST 2021","57","test","test_api","","","","调试运算新功能,从响应提取后运算",""
"passed","Fri Apr 30 23:43:33 CST 2021","Fri Apr 30 23:43:33 CST 2021","114","test","test_api","","","","get请求实现登录",""
"passed","Fri Apr 30 23:43:34 CST 2021","Fri Apr 30 23:43:34 CST 2021","171","test","test_api","","","","添加用户正常接口数据",""
"passed","Fri Apr 30 23:43:34 CST 2021","Fri Apr 30 23:43:34 CST 2021","56","test","test_api","","","","删除用户zy7y",""
"passed","Fri Apr 30 23:43:34 CST 2021","Fri Apr 30 23:43:34 CST 2021","52","test","test_api","","","","修改用户状态为2",""
"passed","Fri Apr 30 23:43:34 CST 2021","Fri Apr 30 23:43:34 CST 2021","63","test","test_api","","","","修改用户状态接口",""
"passed","Fri Apr 30 23:43:34 CST 2021","Fri Apr 30 23:43:34 CST 2021","53","test","test_api","","","","调试自定义函数功能",""
"failed","Fri Apr 30 23:43:34 CST 2021","Fri Apr 30 23:43:34 CST 2021","51","test","test_api","","","","调试函数sum_data(),从path需要运算",""
